Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
930 kg (116.25 kg),28 ans,26 ans,205 cm,Scotland : 67% (10/15) New Zealand : 13% (2/15) England : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15),Scotland : 65% (15/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Argentina : 9% (2/23) England : 4% (1/23) Tonga : 4% (1/23),Glasgow,924 kg (115.50 kg),28 ans,24 ans,202 cm,England : 93% (14/15) Australia : 7% (1/15),England : 87% (20/23) Australia : 4% (1/23) Scotland : 4% (1/23) Fiji : 4% (1/23),Northampton," Date :  Friday, December 8, 2023 Kick Off : 21:00 Venue : Scotstoun Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,67_3,3,12_19_29,0,,3,15_46_57,0,,2,13_29,19 - 28
916 kg (114.50 kg),27 ans,26 ans,201 cm,Ireland : 53% (8/15) Australia : 20% (3/15) New Zealand : 20% (3/15) England : 7% (1/15),Ireland : 65% (15/23) Australia : 17% (4/23) New Zealand : 13% (3/23) England : 4% (1/23),Connacht,908 kg (113.50 kg),28 ans,28 ans,204 cm,France : 73% (11/15) Australia : 13% (2/15) Argentina : 7% (1/15) Tonga : 7% (1/15),France : 74% (17/23) Australia : 9% (2/23) Argentina : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) South Africa : 4% (1/23),Bordeaux," Date :  Friday, December 8, 2023 Kick Off : 21:00 Venue : The Sportsground Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",1,15,5,42_77_23_8_53,0,,1,63,0,,3,9_42_79,5 - 41
911 kg (113.88 kg),28 ans,27 ans,202 cm,France : 60% (9/15) England : 13% (2/15) Georgia : 7% (1/15) Samoa : 7% (1/15) Argentina : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) England : 9% (2/23) South Africa : 9% (2/23) Georgia : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23) Fiji : 4% (1/23) Cameroon : 4% (1/23) Tonga : 4% (1/23),Toulon,932 kg (116.50 kg),25 ans,25 ans,201 cm,England : 53% (8/15) Wales : 20% (3/15) Australia : 7% (1/15) Fiji : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15),England : 57% (13/23) Wales : 13% (3/23) South Africa : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) New Zealand : 4% (1/23) Georgia : 4% (1/23) Ireland : 4% (1/23),Exeter," Date :  Saturday, December 9, 2023 Kick Off : 14:00 Venue : Stade Mayol Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,19_23,3,78_15_59,2,34_37,0,,1,20,2,61_80,18 - 19
955 kg (119.38 kg),27 ans,27 ans,208 cm,France : 67% (10/15) Australia : 13% (2/15) United-States : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),France : 65% (15/23) Australia : 9% (2/23) Samoa : 9% (2/23) United-States : 4% (1/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) Argentina : 4% (1/23),Toulouse,912 kg (114.00 kg),23 ans,26 ans,201 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Tonga : 7% (1/15),Wales : 87% (20/23) South Africa : 4% (1/23) Tonga : 4% (1/23) England : 4% (1/23),Cardiff," Date :  Saturday, December 9, 2023 Kick Off : 16:15 Venue : Stade Ernest-Wallon Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",7,8_37_45_4_25_80_69,1,23,1,18,0,,7,6_9_26_39_46_70_82,1,24,52 - 7
926 kg (115.75 kg),28 ans,28 ans,198 cm,England : 80% (12/15) Scotland : 13% (2/15) Fiji : 7% (1/15),England : 61% (14/23) South Africa : 22% (5/23) Scotland : 9% (2/23) Fiji : 4% (1/23) Ireland : 4% (1/23),Bath,923 kg (115.38 kg),28 ans,28 ans,198 cm,Ireland : 80% (12/15) South Africa : 7% (1/15) Zimbabwe : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) England : 9% (2/23) Zimbabwe : 4% (1/23),Ulster," Date :  Saturday, December 9, 2023 Kick Off : 16:15 Venue : Recreation Ground Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,45_27_71_78_69,2,37_33,2,32_58,0,,3,46_70_80,2,34_37,37 - 14
903 kg (112.88 kg),27 ans,26 ans,206 cm,Ireland : 93% (14/15) New Zealand : 7% (1/15),Ireland : 96% (22/23) New Zealand : 4% (1/23),Munster,939 kg (117.38 kg),27 ans,27 ans,200 cm,France : 67% (10/15) Argentina : 13% (2/15) Tonga : 7% (1/15) Georgia : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) Argentina : 9% (2/23) Georgia : 9% (2/23) Fiji : 9% (2/23) Tonga : 4% (1/23),Bayonne," Date :  Saturday, December 9, 2023 Kick Off : 18:30 Venue : Thomond Park Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,20_9,2,75_46,1,54,1,4,2,10_20,2,47_76,17 - 17
901 kg (112.63 kg),26 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,936 kg (117.00 kg),28 ans,28 ans,196 cm,England : 67% (10/15) New Zealand : 13% (2/15) Argentina : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),England : 65% (15/23) New Zealand : 9% (2/23) Argentina : 9% (2/23) Australia : 4% (1/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Wales : 4% (1/23),Saracens," Date :  Saturday, December 9, 2023 Kick Off : 18:30 Venue : Loftus Versfeld Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,38_2_47,2,61_71,2,10_20,2,5_22,3,3_39_48,0,,27 - 16
911 kg (113.88 kg),28 ans,27 ans,200 cm,England : 67% (10/15) Samoa : 7% (1/15) Scotland : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),England : 70% (16/23) Wales : 9% (2/23) Fiji : 9% (2/23) Samoa : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23),Bristol,936 kg (117.00 kg),24 ans,26 ans,200 cm,France : 67% (10/15) England : 7% (1/15) New Zealand : 7% (1/15) Australia : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),France : 65% (15/23) Australia : 13% (3/23) New Zealand : 9% (2/23) England : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23),Lyon," Date :  Saturday, December 9, 2023 Kick Off : 21:00 Venue : Ashton Gate Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,29_22_47_3_53,6,9_64_76_6_57_69,0,,0,,4,4_23_30_48,1,64,36 - 34
909 kg (113.63 kg),28 ans,27 ans,207 cm,England : 73% (11/15) South Africa : 13% (2/15) Scotland : 7% (1/15) Samoa : 7% (1/15),England : 74% (17/23) South Africa : 13% (3/23) Scotland : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23),Sale,918 kg (114.75 kg),26 ans,26 ans,200 cm,France : 73% (11/15) South Africa : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) South Africa : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) Georgia : 4% (1/23) Argentina : 4% (1/23) Tonga : 4% (1/23),Paris," Date :  Sunday, December 10, 2023 Kick Off : 14:00 Venue : Salford City Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,62_73_52,1,25,3,13_39_49,0,,2,64_74,0,,28 - 5
928 kg (116.00 kg),28 ans,28 ans,201 cm,England : 40% (6/15) South Africa : 27% (4/15) Scotland : 13% (2/15) Argentina : 7% (1/15) Wales : 7% (1/15) Tonga : 7% (1/15),England : 48% (11/23) South Africa : 22% (5/23) Scotland : 9% (2/23) Ireland : 9% (2/23) Argentina : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23),Leicester,904 kg (113.00 kg),28 ans,26 ans,200 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers," Date :  Sunday, December 10, 2023 Kick Off : 16:15 Venue : Mattioli Woods Welford Road Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,64_13_46_81,2,28_39,3,5_41_57,3,11_61_68,3,14_48_65,2,29_41,35 - 26
934 kg (116.75 kg),28 ans,28 ans,203 cm,France : 60% (9/15) New Zealand : 20% (3/15) Fiji : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),France : 65% (15/23) New Zealand : 13% (3/23) Fiji : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Ireland : 4% (1/23),La Rochelle,923 kg (115.38 kg),26 ans,28 ans,201 cm,Ireland : 87% (13/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Ireland : 83% (19/23) New Zealand : 9% (2/23) Australia : 4% (1/23) South Africa : 4% (1/23),Leinster," Date :  Sunday, December 10, 2023 Kick Off : 16:15 Venue : Stade Marcel-Deflandre Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",0,,1,11,3,2_36_51,3,40_59_80,0,,1,12,9 - 16
885 kg (110.63 kg),27 ans,28 ans,196 cm,France : 60% (9/15) Georgia : 7% (1/15) South Africa : 7% (1/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) Fiji : 7% (1/15) England : 7% (1/15),France : 61% (14/23) South Africa : 13% (3/23) Georgia : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23) Portugal : 4% (1/23),Racing 92,931 kg (116.38 kg),26 ans,26 ans,198 cm,England : 80% (12/15) South Africa : 13% (2/15) Wales : 7% (1/15),England : 74% (17/23) South Africa : 17% (4/23) Wales : 9% (2/23),Harlequins," Date :  Sunday, December 10, 2023 Kick Off : 18:30 Venue : Paris La Défense Arena Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,57_14_41_39,4,60_21_24_64,0,,0,,4,15_40_42_58,4,21_25_61_66,28 - 31
938 kg (117.25 kg),28 ans,24 ans,202 cm,England : 93% (14/15) Fiji : 7% (1/15),England : 83% (19/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Northampton,902 kg (112.75 kg),28 ans,25 ans,202 cm,France : 53% (8/15) England : 20% (3/15) Cameroon : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) Tonga : 7% (1/15),France : 65% (15/23) England : 13% (3/23) Fiji : 9% (2/23) Cameroon : 4% (1/23) South Africa : 4% (1/23) Tonga : 4% (1/23),Toulon," Date :  Friday, December 15, 2023 Kick Off : 21:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,6_28_57_77,2,65_54,0,,2,5_62,1,78,0,,22 - 19
911 kg (113.88 kg),28 ans,26 ans,205 cm,France : 67% (10/15) Argentina : 13% (2/15) Fiji : 7% (1/15) Uruguay : 7% (1/15) Georgia : 7% (1/15),France : 70% (16/23) Argentina : 9% (2/23) Fiji : 4% (1/23) Uruguay : 4% (1/23) Georgia : 4% (1/23) Tonga : 4% (1/23) Australia : 4% (1/23),Bayonne,919 kg (114.88 kg),27 ans,26 ans,207 cm,Scotland : 73% (11/15) Australia : 13% (2/15) New Zealand : 13% (2/15),Scotland : 65% (15/23) New Zealand : 13% (3/23) South Africa : 13% (3/23) Australia : 9% (2/23),Glasgow," Date :  Friday, December 15, 2023 Kick Off : 21:00 Venue : Stade Jean Dauger Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",1,33,2,37_56,2,27_49,0,,0,,1,38,11 - 12
893 kg (111.63 kg),29 ans,27 ans,201 cm,South Africa : 93% (14/15) England : 7% (1/15),South Africa : 96% (22/23) England : 4% (1/23),Stormers,934 kg (116.75 kg),28 ans,28 ans,203 cm,France : 60% (9/15) New Zealand : 20% (3/15) Fiji : 7% (1/15) Australia : 7% (1/15) South Africa : 7% (1/15),France : 65% (15/23) New Zealand : 13% (3/23) Fiji : 4% (1/23) Australia : 4% (1/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Ireland : 4% (1/23),La Rochelle," Date :  Saturday, December 16, 2023 Kick Off : 14:00 Venue : DHL Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,51_78,2,45_6,3,35_40_43,2,2_37,1,80,2,7_46,21 - 20
931 kg (116.38 kg),29 ans,28 ans,198 cm,England : 53% (8/15) New Zealand : 13% (2/15) Argentina : 13% (2/15) Samoa : 7% (1/15) Australia : 7% (1/15) Wales : 7% (1/15),England : 61% (14/23) New Zealand : 9% (2/23) Samoa : 9% (2/23) Argentina : 9% (2/23) Australia : 4% (1/23) Wales : 4% (1/23) South Africa : 4% (1/23),Saracens,898 kg (112.25 kg),26 ans,28 ans,204 cm,Ireland : 73% (11/15) Australia : 13% (2/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 70% (16/23) Australia : 13% (3/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23),Connacht," Date :  Saturday, December 16, 2023 Kick Off : 14:00 Venue : StoneX Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",8,32_40_7_54_42_63_56_70,5,81_24_12_66_61,3,19_38_51,1,28,3,43_55_64,4,13_25_61_82,55 - 36
937 kg (117.13 kg),29 ans,27 ans,204 cm,France : 73% (11/15) Australia : 13% (2/15) South Africa : 7% (1/15) Argentina : 7% (1/15),France : 78% (18/23) Australia : 13% (3/23) South Africa : 4% (1/23) Argentina : 4% (1/23),Bordeaux,899 kg (112.38 kg),27 ans,24 ans,200 cm,England : 80% (12/15) New Zealand : 7% (1/15) Scotland : 7% (1/15) Fiji : 7% (1/15),England : 78% (18/23) Scotland : 9% (2/23) New Zealand : 4% (1/23) Fiji : 4% (1/23) Wales : 4% (1/23),Bristol," Date :  Saturday, December 16, 2023 Kick Off : 16:15 Venue : Stade Chaban-Delmas Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,4_16_55_32_66,2,62_73,1,2,1,15,4,5_33_56_67,2,63_74,36 - 17
955 kg (119.38 kg),28 ans,27 ans,200 cm,France : 53% (8/15) Australia : 20% (3/15) New Zealand : 13% (2/15) Samoa : 7% (1/15) South Africa : 7% (1/15),France : 61% (14/23) Australia : 13% (3/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Samoa : 4% (1/23) Ireland : 4% (1/23),Lyon,902 kg (112.75 kg),25 ans,26 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls," Date :  Saturday, December 16, 2023 Kick Off : 18:30 Venue : Matmut Stadium de Gerland Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,38_45_22_61,3,67_1_27,0,,3,11_34_42,2,23_62,2,2_68,29 - 28
917 kg (114.63 kg),26 ans,28 ans,203 cm,Ireland : 87% (13/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),Ireland : 83% (19/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Leinster,906 kg (113.25 kg),27 ans,24 ans,207 cm,England : 80% (12/15) South Africa : 13% (2/15) Tonga : 7% (1/15),England : 83% (19/23) South Africa : 13% (3/23) Tonga : 4% (1/23),Sale," Date :  Saturday, December 16, 2023 Kick Off : 18:30 Venue : RDS Arena Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,61_39_42_56_69,3,78_24_80,2,14_30,2,3_17,3,56_63_70,3,26_79_81,37 - 27
897 kg (112.13 kg),24 ans,26 ans,201 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 78% (18/23) England : 9% (2/23) South Africa : 4% (1/23) Samoa : 4% (1/23) Tonga : 4% (1/23),Cardiff,929 kg (116.13 kg),29 ans,28 ans,201 cm,England : 67% (10/15) South Africa : 13% (2/15) Scotland : 13% (2/15) Fiji : 7% (1/15),England : 57% (13/23) South Africa : 26% (6/23) Scotland : 9% (2/23) Fiji : 4% (1/23) New Zealand : 4% (1/23),Bath," Date :  Saturday, December 16, 2023 Kick Off : 21:00 Venue : Cardiff Arms Park Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,43_4_19,4,29_22_14_7,2,18_27,1,53,3,5_20_44,3,24_30_71,32 - 39
932 kg (116.50 kg),30 ans,26 ans,198 cm,Ireland : 73% (11/15) South Africa : 13% (2/15) Zimbabwe : 7% (1/15) England : 7% (1/15),Ireland : 78% (18/23) South Africa : 9% (2/23) England : 9% (2/23) Zimbabwe : 4% (1/23),Ulster,894 kg (111.75 kg),30 ans,26 ans,203 cm,France : 67% (10/15) South Africa : 13% (2/15) England : 13% (2/15) Argentina : 7% (1/15),France : 61% (14/23) South Africa : 13% (3/23) England : 9% (2/23) Georgia : 9% (2/23) Argentina : 4% (1/23) Fiji : 4% (1/23),Racing 92," Date :  Saturday, December 16, 2023 Kick Off : 21:00 Venue : Kingspan Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,3_46_36_22,3,55_65_29,1,69,0,,4,4_23_38_48,0,,31 - 15
