Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
934 kg (116.75 kg),25 ans,26 ans,201 cm,England : 67% (10/15) Wales : 13% (2/15) Australia : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15),England : 61% (14/23) Wales : 9% (2/23) South Africa : 9% (2/23) Ireland : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) Georgia : 4% (1/23),Exeter,897 kg (112.13 kg),28 ans,25 ans,206 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 91% (21/23) New Zealand : 4% (1/23) France : 4% (1/23),Munster," Date :  Sunday, December 17, 2023 Kick Off : 14:00 Venue : Sandy Park Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,15_78_64_62,4,22_36_6_49,2,26_45,0,,3,16_63_66,2,7_37,32 - 24
915 kg (114.38 kg),29 ans,25 ans,198 cm,England : 87% (13/15) South Africa : 13% (2/15),England : 78% (18/23) South Africa : 13% (3/23) Wales : 9% (2/23),Harlequins,951 kg (118.88 kg),29 ans,26 ans,208 cm,France : 67% (10/15) Australia : 13% (2/15) Samoa : 7% (1/15) New Zealand : 7% (1/15) Scotland : 7% (1/15),France : 65% (15/23) Samoa : 9% (2/23) Australia : 9% (2/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) United-States : 4% (1/23) Argentina : 4% (1/23),Toulouse," Date :  Sunday, December 17, 2023 Kick Off : 16:15 Venue : Twickenham Stoop Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,9_39_47,7,35_76_42_6_50_11_73,0,,0,,2,10_48,6,7_13_36_43_52_75,19 - 47
920 kg (115.00 kg),28 ans,26 ans,199 cm,France : 80% (12/15) Australia : 7% (1/15) South Africa : 7% (1/15) England : 7% (1/15),France : 74% (17/23) Australia : 9% (2/23) South Africa : 9% (2/23) England : 4% (1/23) Argentina : 4% (1/23),Paris,927 kg (115.88 kg),28 ans,26 ans,201 cm,England : 60% (9/15) Ireland : 13% (2/15) South Africa : 13% (2/15) Australia : 7% (1/15) Tonga : 7% (1/15),England : 65% (15/23) Ireland : 9% (2/23) Australia : 9% (2/23) South Africa : 9% (2/23) Tonga : 4% (1/23) Fiji : 4% (1/23),Leicester," Date :  Sunday, December 17, 2023 Kick Off : 18:30 Venue : Stade Jean Bouin Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,15_40_61,3,7_44_53,1,38,2,57_66,3,16_42_62,3,8_46_54,24 - 27
928 kg (116.00 kg),28 ans,26 ans,207 cm,England : 93% (14/15) Fiji : 7% (1/15),England : 83% (19/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Northampton,931 kg (116.38 kg),28 ans,26 ans,205 cm,France : 67% (10/15) Argentina : 13% (2/15) Tonga : 7% (1/15) Uruguay : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) Argentina : 13% (3/23) Tonga : 4% (1/23) Uruguay : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23),Bayonne," Date :  Friday, January 12, 2024 Kick Off : 21:00 Venue : cinch Stadium at Franklin's Gardens Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",9,38_48_31_27_13_20_44_1_70,2,76_64,0,,0,,8,2_13_20_28_33_40_49_71,2,65_77,61 - 14
936 kg (117.00 kg),26 ans,25 ans,197 cm,England : 60% (9/15) Australia : 7% (1/15) Fiji : 7% (1/15) New Zealand : 7% (1/15) South Africa : 7% (1/15) Ireland : 7% (1/15) Wales : 7% (1/15),England : 57% (13/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) Wales : 9% (2/23) Australia : 4% (1/23) Fiji : 4% (1/23) Ireland : 4% (1/23) Georgia : 4% (1/23),Exeter,930 kg (116.25 kg),26 ans,27 ans,207 cm,Scotland : 73% (11/15) South Africa : 13% (2/15) Australia : 7% (1/15) New Zealand : 7% (1/15),Scotland : 74% (17/23) South Africa : 9% (2/23) New Zealand : 9% (2/23) Australia : 4% (1/23) Argentina : 4% (1/23),Glasgow," Date :  Saturday, January 13, 2024 Kick Off : 14:00 Venue : Sandy Park Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,41_62,2,27_54,0,,1,10,2,43_77,2,28_56,19 - 17
928 kg (116.00 kg),26 ans,25 ans,200 cm,France : 53% (8/15) New Zealand : 13% (2/15) South Africa : 13% (2/15) England : 7% (1/15) Ireland : 7% (1/15) Australia : 7% (1/15),France : 70% (16/23) New Zealand : 9% (2/23) South Africa : 9% (2/23) England : 4% (1/23) Ireland : 4% (1/23) Australia : 4% (1/23),Lyon,908 kg (113.50 kg),27 ans,26 ans,201 cm,Ireland : 67% (10/15) New Zealand : 20% (3/15) England : 7% (1/15) South Africa : 7% (1/15),Ireland : 78% (18/23) New Zealand : 13% (3/23) England : 4% (1/23) South Africa : 4% (1/23),Connacht," Date :  Saturday, January 13, 2024 Kick Off : 14:00 Venue : Matmut Stadium de Gerland Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,51_13_74_20,3,43_37_7,2,27_35,1,67,4,14_21_52_74,1,44,34 - 20
934 kg (116.75 kg),29 ans,27 ans,202 cm,France : 27% (4/15) England : 13% (2/15) South Africa : 13% (2/15) Fiji : 13% (2/15) Cameroon : 7% (1/15) Argentina : 7% (1/15) Wales : 7% (1/15) Tonga : 7% (1/15) New Zealand : 7% (1/15),France : 35% (8/23) England : 13% (3/23) Fiji : 13% (3/23) South Africa : 9% (2/23) Cameroon : 4% (1/23) Argentina : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23) New Zealand : 4% (1/23) Georgia : 4% (1/23) Samoa : 4% (1/23),Toulon,906 kg (113.25 kg),29 ans,27 ans,206 cm,Ireland : 87% (13/15) New Zealand : 7% (1/15) France : 7% (1/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) France : 4% (1/23),Munster," Date :  Saturday, January 13, 2024 Kick Off : 16:15 Venue : Stade Mayol Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,53_22,4,46_30_59_36,2,15_34,1,27,1,23,3,31_37_60,18 - 29
919 kg (114.88 kg),27 ans,28 ans,200 cm,England : 60% (9/15) Ireland : 13% (2/15) Samoa : 7% (1/15) Wales : 7% (1/15) Scotland : 7% (1/15) South Africa : 7% (1/15),England : 65% (15/23) Ireland : 9% (2/23) Samoa : 4% (1/23) Wales : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Fiji : 4% (1/23),Bristol,942 kg (117.75 kg),25 ans,26 ans,199 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls," Date :  Saturday, January 13, 2024 Kick Off : 16:15 Venue : Ashton Gate Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",3,80_19_74,4,66_63_14_55,0,,1,6,1,20,4,56_64_67_16,17 - 31
922 kg (115.25 kg),27 ans,28 ans,203 cm,Ireland : 80% (12/15) New Zealand : 13% (2/15) South Africa : 7% (1/15),Ireland : 83% (19/23) New Zealand : 9% (2/23) South Africa : 4% (1/23) Australia : 4% (1/23),Leinster,921 kg (115.13 kg),25 ans,26 ans,200 cm,France : 67% (10/15) South Africa : 7% (1/15) Germany : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15) Fiji : 7% (1/15),France : 65% (15/23) Georgia : 9% (2/23) South Africa : 4% (1/23) Germany : 4% (1/23) New Zealand : 4% (1/23) England : 4% (1/23) Fiji : 4% (1/23) Australia : 4% (1/23),Paris," Date :  Saturday, January 13, 2024 Kick Off : 18:30 Venue : Aviva Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",7,40_29_46_60_17_44_67,0,,0,,0,,4,18_47_61_67,1,82,43 - 7
895 kg (111.88 kg),28 ans,28 ans,201 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Stormers,910 kg (113.75 kg),28 ans,25 ans,207 cm,England : 73% (11/15) Argentina : 7% (1/15) Scotland : 7% (1/15) South Africa : 7% (1/15) Tonga : 7% (1/15),England : 78% (18/23) Tonga : 9% (2/23) Argentina : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23),Sale," Date :  Saturday, January 13, 2024 Kick Off : 18:30 Venue : DHL Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,7_32_51_22,3,39_26_70,1,60,1,47,4,8_23_34_52,3,27_40_72,31 - 24
920 kg (115.00 kg),28 ans,29 ans,199 cm,Ireland : 67% (10/15) England : 20% (3/15) South Africa : 7% (1/15) Zimbabwe : 7% (1/15),Ireland : 74% (17/23) England : 17% (4/23) South Africa : 4% (1/23) Zimbabwe : 4% (1/23),Ulster,942 kg (117.75 kg),28 ans,27 ans,208 cm,France : 67% (10/15) Australia : 13% (2/15) New Zealand : 7% (1/15) Argentina : 7% (1/15) Scotland : 7% (1/15),France : 52% (12/23) Australia : 9% (2/23) Argentina : 9% (2/23) New Zealand : 4% (1/23) Scotland : 4% (1/23) United-States : 4% (1/23) Samoa : 4% (1/23) Ireland : 4% (1/23) England : 4% (1/23) Fiji : 4% (1/23),Toulouse," Date :  Saturday, January 13, 2024 Kick Off : 21:00 Venue : Kingspan Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,41_68,7,30_52_80_56_34_46_9,1,12,1,18,3,41_62_68,5,10_36_48_57_81,24 - 48
901 kg (112.63 kg),26 ans,26 ans,203 cm,Wales : 80% (12/15) South Africa : 7% (1/15) Tonga : 7% (1/15) Samoa : 7% (1/15),Wales : 83% (19/23) South Africa : 4% (1/23) Tonga : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23),Cardiff,908 kg (113.50 kg),27 ans,25 ans,198 cm,England : 80% (12/15) South Africa : 13% (2/15) Scotland : 7% (1/15),England : 70% (16/23) South Africa : 17% (4/23) Scotland : 4% (1/23) Wales : 4% (1/23) Australia : 4% (1/23),Harlequins," Date :  Saturday, January 13, 2024 Kick Off : 21:00 Venue : Cardiff Arms Park Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",2,6_22,8,75_9_34_44_26_37_79_68,1,4,0,,1,23,7,10_27_35_39_69_76_80,15 - 54
935 kg (116.88 kg),29 ans,28 ans,198 cm,England : 60% (9/15) South Africa : 20% (3/15) Scotland : 13% (2/15) Fiji : 7% (1/15),England : 57% (13/23) South Africa : 26% (6/23) Scotland : 9% (2/23) Fiji : 4% (1/23) Ireland : 4% (1/23),Bath,893 kg (111.63 kg),29 ans,27 ans,203 cm,France : 67% (10/15) England : 13% (2/15) Fiji : 13% (2/15) South Africa : 7% (1/15),France : 65% (15/23) South Africa : 13% (3/23) England : 9% (2/23) Fiji : 9% (2/23) New Zealand : 4% (1/23),Racing 92," Date :  Sunday, January 14, 2024 Kick Off : 14:00 Venue : Recreation Ground Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,34_59_71_62,3,42_17_52,1,12,2,7_67,3,60_63_72,2,18_43,29 - 25
946 kg (118.25 kg),29 ans,28 ans,203 cm,France : 53% (8/15) New Zealand : 20% (3/15) Ireland : 7% (1/15) Fiji : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15),France : 61% (14/23) New Zealand : 13% (3/23) Ireland : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23) Georgia : 4% (1/23),La Rochelle,928 kg (116.00 kg),29 ans,29 ans,200 cm,England : 60% (9/15) Ireland : 13% (2/15) Argentina : 7% (1/15) Wales : 7% (1/15) South Africa : 7% (1/15) Tonga : 7% (1/15),England : 52% (12/23) South Africa : 17% (4/23) Ireland : 9% (2/23) Argentina : 4% (1/23) Wales : 4% (1/23) Tonga : 4% (1/23) Australia : 4% (1/23) Scotland : 4% (1/23),Leicester," Date :  Sunday, January 14, 2024 Kick Off : 16:15 Venue : Stade Marcel-Deflandre Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",7,5_31_42_73_44_67_58,2,37_79,0,,0,,5,6_32_43_46_60,1,38,45 - 12
925 kg (115.63 kg),28 ans,26 ans,207 cm,France : 73% (11/15) Australia : 13% (2/15) New Zealand : 7% (1/15) Argentina : 7% (1/15),France : 74% (17/23) Australia : 13% (3/23) New Zealand : 4% (1/23) Argentina : 4% (1/23) South Africa : 4% (1/23),Bordeaux,912 kg (114.00 kg),27 ans,28 ans,201 cm,England : 80% (12/15) Samoa : 7% (1/15) South Africa : 7% (1/15) New Zealand : 7% (1/15),England : 78% (18/23) Samoa : 4% (1/23) South Africa : 4% (1/23) New Zealand : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23),Saracens," Date :  Sunday, January 14, 2024 Kick Off : 18:30 Venue : Stade Chaban-Delmas Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",8,20_51_7_80_43_34_56_11,2,62_61,0,,1,4,5,52_57_8_12_78,1,61,55 - 15
889 kg (111.13 kg),28 ans,28 ans,201 cm,Ireland : 60% (9/15) New Zealand : 20% (3/15) Australia : 7% (1/15) England : 7% (1/15) South Africa : 7% (1/15),Ireland : 70% (16/23) New Zealand : 13% (3/23) England : 9% (2/23) Australia : 4% (1/23) South Africa : 4% (1/23),Connacht,925 kg (115.63 kg),28 ans,28 ans,200 cm,England : 60% (9/15) Fiji : 13% (2/15) Samoa : 7% (1/15) Scotland : 7% (1/15) Ireland : 7% (1/15) South Africa : 7% (1/15),England : 65% (15/23) Ireland : 9% (2/23) Fiji : 9% (2/23) Samoa : 4% (1/23) Scotland : 4% (1/23) South Africa : 4% (1/23) Wales : 4% (1/23),Bristol," Date :  Friday, January 19, 2024 Kick Off : 21:00 Venue : Dexcom Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",4,32_7_45_19,0,,1,78,1,31,2,20_46,0,,27 - 10
932 kg (116.50 kg),27 ans,26 ans,201 cm,Scotland : 60% (9/15) Australia : 13% (2/15) New Zealand : 13% (2/15) Argentina : 7% (1/15) South Africa : 7% (1/15),Scotland : 61% (14/23) South Africa : 13% (3/23) Australia : 9% (2/23) New Zealand : 9% (2/23) Argentina : 4% (1/23) England : 4% (1/23),Glasgow,895 kg (111.88 kg),26 ans,27 ans,202 cm,France : 80% (12/15) Argentina : 7% (1/15) Georgia : 7% (1/15) Fiji : 7% (1/15),France : 74% (17/23) England : 9% (2/23) Argentina : 4% (1/23) Georgia : 4% (1/23) Fiji : 4% (1/23) South Africa : 4% (1/23),Toulon," Date :  Friday, January 19, 2024 Kick Off : 21:00 Venue : Scotstoun Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,21_82_30_63_59,1,47,0,,0,,2,31_61,0,,29 - 5
900 kg (112.50 kg),24 ans,27 ans,200 cm,South Africa : 100% (15/15),South Africa : 100% (23/23),Bulls,934 kg (116.75 kg),29 ans,27 ans,207 cm,France : 60% (9/15) Australia : 27% (4/15) South Africa : 7% (1/15) Congo : 7% (1/15),France : 65% (15/23) Australia : 17% (4/23) South Africa : 4% (1/23) Congo : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23),Bordeaux," Date :  Saturday, January 20, 2024 Kick Off : 14:00 Venue : Loftus Versfeld Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",6,6_26_52_16_39_42,6,33_59_49_13_54_66,2,64_74,0,,5,7_17_26_43_53,4,14_34_50_55,46 - 40
914 kg (114.25 kg),27 ans,26 ans,200 cm,England : 80% (12/15) South Africa : 20% (3/15),England : 78% (18/23) South Africa : 13% (3/23) Wales : 4% (1/23) Australia : 4% (1/23),Harlequins,915 kg (114.38 kg),27 ans,28 ans,199 cm,Ireland : 80% (12/15) England : 13% (2/15) South Africa : 7% (1/15),Ireland : 83% (19/23) England : 13% (3/23) South Africa : 4% (1/23),Ulster," Date :  Saturday, January 20, 2024 Kick Off : 14:00 Venue : Twickenham Stoop Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",5,72_47_58_4_64,3,14_78_70,0,,0,,6,5_26_34_48_66_73,2,15_70,47 - 19
932 kg (116.50 kg),28 ans,28 ans,200 cm,England : 47% (7/15) South Africa : 20% (3/15) Ireland : 13% (2/15) Argentina : 7% (1/15) Wales : 7% (1/15) Scotland : 7% (1/15),England : 48% (11/23) South Africa : 22% (5/23) Ireland : 9% (2/23) Argentina : 4% (1/23) Wales : 4% (1/23) Scotland : 4% (1/23) Australia : 4% (1/23) Tonga : 4% (1/23),Leicester,912 kg (114.00 kg),27 ans,28 ans,201 cm,Ireland : 87% (13/15) New Zealand : 13% (2/15),Ireland : 87% (20/23) New Zealand : 9% (2/23) Australia : 4% (1/23),Leinster," Date :  Saturday, January 20, 2024 Kick Off : 16:15 Venue : Mattioli Woods Welford Road Stadium Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",1,9,4,43_28_84_33,1,20,1,22,1,10,2,29_44,10 - 27
896 kg (112.00 kg),29 ans,27 ans,203 cm,France : 47% (7/15) South Africa : 20% (3/15) England : 13% (2/15) Fiji : 13% (2/15) Argentina : 7% (1/15),France : 61% (14/23) South Africa : 13% (3/23) England : 9% (2/23) Fiji : 9% (2/23) Argentina : 4% (1/23) Georgia : 4% (1/23),Racing 92,904 kg (113.00 kg),24 ans,27 ans,201 cm,Wales : 87% (13/15) South Africa : 7% (1/15) Samoa : 7% (1/15),Wales : 83% (19/23) South Africa : 4% (1/23) Samoa : 4% (1/23) England : 4% (1/23) Tonga : 4% (1/23),Cardiff," Date :  Saturday, January 20, 2024 Kick Off : 16:15 Venue : Paris La Défense Arena Tournament : Champions Cup Round : pool stage  All times shown are french time,refresh to see your local time. ",7,24_17_31_46_42_75_49,4,7_37_63_71,1,4,0,,5,18_43_47_50_76,3,8_64_72,48 - 26
