Home Pack weight (average),Home Forwards average age,Home Backs average age,Home Tallest player,Home Differents nationalities for starters,Home Differents nationalities for all the team,Home JIFF players  ( read JIFF study in Top 14 ),Home team,Away Pack weight (average),Away Forwards average age,Away Backs average age,Away Tallest player,Away Differents nationalities for starters,Away Differents nationalities for all the team,Away JIFF players  ( read JIFF study in Top 14 ),Away team,meta,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,match_result
944 kg (118.00 kg),27 ans,27 ans,196 cm,France : 47% (7/15) Georgia : 13% (2/15) Canada : 7% (1/15) Australia : 7% (1/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) Congo : 7% (1/15) Scotland : 7% (1/15),France : 61% (14/23) Georgia : 9% (2/23) Canada : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Congo : 4% (1/23) Scotland : 4% (1/23) England : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier,956 kg (119.50 kg),26 ans,25 ans,208 cm,France : 60% (9/15) Australia : 13% (2/15) United-States : 7% (1/15) England : 7% (1/15) Japan : 7% (1/15) Scotland : 7% (1/15),France : 70% (16/23) Australia : 9% (2/23) United-States : 4% (1/23) England : 4% (1/23) Japan : 4% (1/23) Scotland : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse," Date :  Saturday, September 21, 2024 Kick Off : 14:30 Venue : GGL Stadium Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1.0,38,2.0,18_46,2.0,7_32,2.0,9_44,0.0,,2.0,19_47,11 - 20
916 kg (114.50 kg),29 ans,26 ans,205 cm,France : 67% (10/15) New Zealand : 13% (2/15) England : 7% (1/15) Fiji : 7% (1/15) Cameroon : 7% (1/15),France : 74% (17/23) New Zealand : 9% (2/23) England : 4% (1/23) Fiji : 4% (1/23) Cameroon : 4% (1/23) Uruguay : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres,931 kg (116.38 kg),26 ans,27 ans,202 cm,France : 60% (9/15) Fiji : 13% (2/15) England : 7% (1/15) Samoa : 7% (1/15) South Africa : 7% (1/15) Georgia : 7% (1/15),France : 52% (12/23) Fiji : 13% (3/23) Samoa : 9% (2/23) South Africa : 9% (2/23) Georgia : 9% (2/23) England : 4% (1/23) Australia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 14 / 15 (93 %)  PRO NON-JIFF PLAYER : 1 / 15 (7 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Perpignan," Date :  Saturday, September 21, 2024 Kick Off : 16:30 Venue : Stade Pierre Fabre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,40_59_82,0.0,,2.0,22_67,4.0,6_21_26_36,3.0,41_60_83,0.0,,27 - 12
938 kg (117.25 kg),30 ans,26 ans,198 cm,France : 40% (6/15) Fiji : 20% (3/15) Australia : 13% (2/15) Georgia : 7% (1/15) Moldova : 7% (1/15) Samoa : 7% (1/15) Tonga : 7% (1/15),France : 57% (13/23) Fiji : 13% (3/23) Australia : 9% (2/23) Georgia : 4% (1/23) Moldova : 4% (1/23) Samoa : 4% (1/23) Tonga : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Clermont,924 kg (115.50 kg),27 ans,27 ans,203 cm,France : 73% (11/15) New Zealand : 7% (1/15) England : 7% (1/15) Germany : 7% (1/15) Fiji : 7% (1/15),France : 78% (18/23) Fiji : 9% (2/23) New Zealand : 4% (1/23) England : 4% (1/23) Germany : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne," Date :  Saturday, September 21, 2024 Kick Off : 16:30 Venue : Stade Marcel Michelin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,19_45_14_50,1.0,58,0.0,,1.0,3,3.0,15_20_46,1.0,59,26 - 10
922 kg (115.25 kg),32 ans,28 ans,200 cm,France : 47% (7/15) New Zealand : 27% (4/15) Argentina : 13% (2/15) Namibia : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) New Zealand : 17% (4/23) Argentina : 9% (2/23) Fiji : 9% (2/23) Namibia : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 7 / 15 (47 %)  PRO NON-JIFF PLAYER : 8 / 15 (53 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Vannes,907 kg (113.38 kg),27 ans,27 ans,200 cm,France : 60% (9/15) New Zealand : 13% (2/15) Georgia : 13% (2/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 65% (15/23) Georgia : 13% (3/23) New Zealand : 9% (2/23) Fiji : 9% (2/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon," Date :  Saturday, September 21, 2024 Kick Off : 16:30 Venue : Stade de la Rabine Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,73_47_35,2.0,12_58,3.0,7_26_64,2.0,33_67,3.0,36_48_74,2.0,13_60,30 - 20
960 kg (120.00 kg),28 ans,27 ans,203 cm,France : 60% (9/15) New Zealand : 13% (2/15) Australia : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15) England : 7% (1/15),France : 65% (15/23) New Zealand : 9% (2/23) Australia : 4% (1/23) South Africa : 4% (1/23) Fiji : 4% (1/23) England : 4% (1/23) Tonga : 4% (1/23) Georgia : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle,953 kg (119.13 kg),27 ans,26 ans,200 cm,France : 53% (8/15) England : 13% (2/15) Australia : 13% (2/15) Georgia : 7% (1/15) Fiji : 7% (1/15) Samoa : 7% (1/15),France : 57% (13/23) England : 17% (4/23) Australia : 9% (2/23) Georgia : 4% (1/23) Fiji : 4% (1/23) Samoa : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Pau," Date :  Saturday, September 21, 2024 Kick Off : 16:30 Venue : Stade Marcel-Deflandre Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",7.0,22_26_36_45_73_3_59,3.0,11_48_77,1.0,40,2.0,15_55,2.0,46_60,2.0,50_78,49 - 25
927 kg (115.88 kg),26 ans,27 ans,198 cm,France : 87% (13/15) South Africa : 7% (1/15) Scotland : 7% (1/15),France : 74% (17/23) South Africa : 9% (2/23) Australia : 9% (2/23) Scotland : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux,906 kg (113.25 kg),26 ans,28 ans,200 cm,France : 53% (8/15) England : 27% (4/15) Georgia : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) England : 22% (5/23) Georgia : 9% (2/23) South Africa : 4% (1/23) Fiji : 4% (1/23) Chile : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 1 / 15 (7 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 1 / 23 (4 %),Racing 92," Date :  Saturday, September 21, 2024 Kick Off : 21:05 Venue : Stade Chaban-Delmas Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",8.0,31_17_19_53_45_9_12_71,5.0,24_78_38_62_76,0.0,,1.0,7,6.0,13_20_32_46_54_72,3.0,25_39_79,52 - 34
950 kg (118.75 kg),29 ans,27 ans,200 cm,France : 53% (8/15) South Africa : 13% (2/15) Australia : 7% (1/15) Italy : 7% (1/15) Argentina : 7% (1/15) New Zealand : 7% (1/15) England : 7% (1/15),France : 57% (13/23) South Africa : 9% (2/23) England : 9% (2/23) Australia : 4% (1/23) Italy : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Tonga : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris,900 kg (112.50 kg),27 ans,26 ans,203 cm,France : 47% (7/15) Italy : 13% (2/15) England : 13% (2/15) Fiji : 13% (2/15) South Africa : 7% (1/15) Argentina : 7% (1/15),France : 61% (14/23) Italy : 9% (2/23) England : 9% (2/23) Fiji : 9% (2/23) South Africa : 4% (1/23) Argentina : 4% (1/23) Cameroon : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 8 / 15 (53 %)  PRO NON-JIFF PLAYER : 7 / 15 (47 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon," Date :  Sunday, September 22, 2024 Kick Off : 21:05 Venue : Stade Jean Bouin Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1.0,62,1.0,27,1.0,46,3.0,11_52_57,1.0,63,0.0,,10 - 14
933 kg (116.63 kg),28 ans,28 ans,198 cm,France : 47% (7/15) Samoa : 13% (2/15) South Africa : 13% (2/15) England : 7% (1/15) Australia : 7% (1/15) Argentina : 7% (1/15) Fiji : 7% (1/15),France : 48% (11/23) Samoa : 13% (3/23) South Africa : 9% (2/23) Fiji : 9% (2/23) England : 4% (1/23) Australia : 4% (1/23) Argentina : 4% (1/23) Georgia : 4% (1/23) Italy : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 15 / 23 (65%)  PRO NON-JIFF PLAYER : 8 / 23 (35 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Perpignan,910 kg (113.75 kg),27 ans,29 ans,204 cm,France : 60% (9/15) Fiji : 13% (2/15) Australia : 7% (1/15) Germany : 7% (1/15) Samoa : 7% (1/15) Tonga : 7% (1/15),France : 48% (11/23) Fiji : 13% (3/23) Australia : 9% (2/23) Germany : 4% (1/23) Samoa : 4% (1/23) Tonga : 4% (1/23) Georgia : 4% (1/23) Argentina : 4% (1/23) New Zealand : 4% (1/23) Moldova : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Clermont," Date :  Saturday, September 28, 2024 Kick Off : 14:30 Venue : Stade Aimé Giral Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,19_62_11_79,0.0,,3.0,31_40_45,1.0,28,2.0,12_63,0.0,,33 - 3
926 kg (115.75 kg),28 ans,26 ans,203 cm,France : 53% (8/15) England : 13% (2/15) Cameroon : 7% (1/15) Samoa : 7% (1/15) Argentina : 7% (1/15) Tonga : 7% (1/15) Fiji : 7% (1/15),France : 65% (15/23) England : 9% (2/23) Cameroon : 4% (1/23) Samoa : 4% (1/23) Argentina : 4% (1/23) Tonga : 4% (1/23) Fiji : 4% (1/23) Italy : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 10 / 15 (67 %)  PRO NON-JIFF PLAYER : 5 / 15 (33 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulon,906 kg (113.25 kg),27 ans,26 ans,202 cm,France : 73% (11/15) New Zealand : 13% (2/15) Germany : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) New Zealand : 9% (2/23) Germany : 4% (1/23) Fiji : 4% (1/23) Belgium : 4% (1/23) South Africa : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 13 / 15 (87 %)  PRO NON-JIFF PLAYER : 2 / 15 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 20 / 23 (87%)  PRO NON-JIFF PLAYER : 3 / 23 (13 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Vannes," Date :  Saturday, September 28, 2024 Kick Off : 16:30 Venue : Stade Mayol Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",8.0,79_11_26_68_71_54_74_62,3.0,32_38_46,0.0,,0.0,,7.0,13_27_55_61_69_75_80,2.0,31_39,54 - 19
908 kg (113.50 kg),25 ans,27 ans,204 cm,France : 40% (6/15) England : 33% (5/15) Georgia : 13% (2/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 48% (11/23) England : 26% (6/23) Georgia : 9% (2/23) South Africa : 9% (2/23) Fiji : 4% (1/23) Chile : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 2 / 15 (13 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 14 / 23 (61%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 2 / 23 (9 %),Racing 92,950 kg (118.75 kg),28 ans,30 ans,203 cm,France : 67% (10/15) New Zealand : 13% (2/15) South Africa : 7% (1/15) Australia : 7% (1/15) England : 7% (1/15),France : 65% (15/23) New Zealand : 13% (3/23) Australia : 9% (2/23) South Africa : 4% (1/23) England : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),La Rochelle," Date :  Saturday, September 28, 2024 Kick Off : 16:30 Venue : Stade Dominique Duvauchelle Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",1.0,54,1.0,75,3.0,11_20_59,4.0,8_17_25_80,1.0,55,0.0,,16 - 17
895 kg (111.88 kg),28 ans,27 ans,197 cm,France : 67% (10/15) New Zealand : 7% (1/15) Georgia : 7% (1/15) South Africa : 7% (1/15) Australia : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) Australia : 9% (2/23) Fiji : 9% (2/23) New Zealand : 4% (1/23) Georgia : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Lyon,910 kg (113.75 kg),26 ans,26 ans,200 cm,France : 80% (12/15) Uruguay : 7% (1/15) Fiji : 7% (1/15) Cameroon : 7% (1/15),France : 78% (18/23) Fiji : 9% (2/23) Uruguay : 4% (1/23) Cameroon : 4% (1/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 19 / 23 (83%)  PRO NON-JIFF PLAYER : 4 / 23 (17 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Castres," Date :  Saturday, September 28, 2024 Kick Off : 16:30 Venue : Matmut Stadium de Gerland Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,67_44_23_8,4.0,12_41_55_71,5.0,35_45_45_51_59,4.0,5_30_37_62,4.0,9_24_44_68,3.0,13_42_72,40 - 38
940 kg (117.50 kg),29 ans,27 ans,202 cm,France : 60% (9/15) Argentina : 7% (1/15) Tonga : 7% (1/15) England : 7% (1/15) Germany : 7% (1/15) South Africa : 7% (1/15) Fiji : 7% (1/15),France : 70% (16/23) Fiji : 9% (2/23) Argentina : 4% (1/23) Tonga : 4% (1/23) England : 4% (1/23) Germany : 4% (1/23) South Africa : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bayonne,917 kg (114.63 kg),25 ans,28 ans,203 cm,France : 60% (9/15) Georgia : 13% (2/15) Canada : 7% (1/15) England : 7% (1/15) Argentina : 7% (1/15) Congo : 7% (1/15),France : 61% (14/23) Georgia : 9% (2/23) Canada : 4% (1/23) England : 4% (1/23) Argentina : 4% (1/23) Congo : 4% (1/23) South Africa : 4% (1/23) Australia : 4% (1/23) New Zealand : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Montpellier," Date :  Saturday, September 28, 2024 Kick Off : 16:30 Venue : Stade Jean Dauger Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",3.0,6_35_78,2.0,43_48,3.0,25_54_56,2.0,62_69,2.0,7_79,3.0,44_49_59,28 - 27
921 kg (115.13 kg),27 ans,26 ans,204 cm,France : 67% (10/15) England : 13% (2/15) Georgia : 7% (1/15) Samoa : 7% (1/15) Australia : 7% (1/15),France : 57% (13/23) England : 17% (4/23) Georgia : 9% (2/23) Samoa : 4% (1/23) Australia : 4% (1/23) Fiji : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 17 / 23 (74%)  PRO NON-JIFF PLAYER : 6 / 23 (26 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Pau,938 kg (117.25 kg),26 ans,27 ans,200 cm,France : 40% (6/15) South Africa : 20% (3/15) England : 13% (2/15) Australia : 7% (1/15) New Zealand : 7% (1/15) Spain : 7% (1/15) Fiji : 7% (1/15),France : 57% (13/23) South Africa : 13% (3/23) England : 9% (2/23) Australia : 4% (1/23) New Zealand : 4% (1/23) Spain : 4% (1/23) Fiji : 4% (1/23) Argentina : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 9 / 15 (60 %)  PRO NON-JIFF PLAYER : 6 / 15 (40 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 16 / 23 (70%)  PRO NON-JIFF PLAYER : 7 / 23 (30 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Paris," Date :  Saturday, September 28, 2024 Kick Off : 21:05 Venue : Stade du Hameau Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",4.0,56_79_53_66,1.0,20,2.0,16_45,3.0,11_40_49,2.0,57_67,1.0,21,30 - 16
942 kg (117.75 kg),27 ans,27 ans,203 cm,France : 73% (11/15) United-States : 7% (1/15) Australia : 7% (1/15) Scotland : 7% (1/15) New Zealand : 7% (1/15),France : 65% (15/23) Australia : 9% (2/23) United-States : 4% (1/23) Scotland : 4% (1/23) New Zealand : 4% (1/23) Ireland : 4% (1/23) Japan : 4% (1/23) Spain : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 12 / 15 (80 %)  PRO NON-JIFF PLAYER : 3 / 15 (20 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER: 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Toulouse,914 kg (114.25 kg),28 ans,26 ans,198 cm,France : 73% (11/15) Scotland : 7% (1/15) Australia : 7% (1/15) Tonga : 7% (1/15) South Africa : 7% (1/15),France : 78% (18/23) South Africa : 9% (2/23) Scotland : 4% (1/23) Australia : 4% (1/23) Tonga : 4% (1/23),PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 11 / 15 (73 %)  PRO NON-JIFF PLAYER : 4 / 15 (27 %)  ACADEMY NON-JIFF PLAYER : 0 / 15 (0 %)  PRO JIFF PLAYER + ACADEMY JIFF PLAYER : 18 / 23 (78%)  PRO NON-JIFF PLAYER : 5 / 23 (22 %)  ACADEMY NON-JIFF PLAYER : 0 / 23 (0 %),Bordeaux," Date :  Sunday, September 29, 2024 Kick Off : 21:05 Venue : Stade Ernest-Wallon Tournament : Top 14 Round : pool stage  All times shown are french time,refresh to see your local time. ",2.0,7_70,2.0,22_19,0.0,,2.0,15_75,1.0,8,0.0,,12 - 16
